X,Y,FID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Weekdays_O,Weekdays_1,Saturdays_,Saturdays1,Sundays_On,Sundays_Of
-8360795.07136684,4866013.19458666,43,Bus,APC,3,Westbound,19014,Kensington Av & K St,40.000488,-75.1063,64,21,52,18,37,9
-8363126.43546252,4864335.92705268,44,Bus,APC,3,Westbound,19016,Kensington Av & Huntingdon St,39.988945,-75.127243,49,43,39,33,31,24
-8363612.23372035,4863983.3053753,45,Bus,APC,3,Westbound,19017,Kensington Av & Front St,39.986518,-75.131607,32,37,28,14,17,14
-8357656.86360189,4869476.73451097,46,Bus,APC,3,Westbound,21971,Frankford Transit Center - Rt 3,40.024318,-75.078109,321,0,220,0,182,0
-8357908.33433159,4868907.34025066,47,Bus,APC,3,Westbound,24088,Frankford Av & Wakeling St,40.020401,-75.080368,32,0,29,0,19,0
-8357796.12428487,4869065.34860527,48,Bus,APC,3,Westbound,24089,Frankford Av & Dyre St,40.021488,-75.07936,98,0,61,0,49,0
-8358031.4536884,4868738.14182286,49,Bus,APC,3,Westbound,24090,Frankford Av & Harrison St,40.019237,-75.081474,39,0,19,0,22,0
-8358158.80318587,4868556.30033871,50,Bus,APC,3,Westbound,24091,Frankford Av & Foulkrod St,40.017986,-75.082618,28,4,17,7,20,2
-8358569.01550945,4867973.58697738,51,Bus,APC,3,Westbound,24093,Frankford Av & Sellers St,40.013977,-75.086303,31,16,20,13,6,7
-8358706.60640006,4867779.40524494,52,Bus,APC,3,Westbound,24094,Frankford Av & Unity St,40.012641,-75.087539,30,26,19,15,11,11
-8358835.73700939,4867545.98522914,53,Bus,APC,3,Westbound,24095,Frankford Av & Church St,40.011035,-75.088699,54,21,28,15,26,10
-8358878.14973538,4867466.77482809,54,Bus,APC,3,Westbound,24129,Frankford Av & Ruan St - MBNS,40.01049,-75.08908,9,5,21,2,11,3
-8358271.79246903,4868394.95696889,55,Bus,APC,3,Westbound,25421,Frankford Av & Oxford Av,40.016876,-75.083633,167,53,105,24,85,20
-8359000.48985576,4867302.68777085,56,Bus,APC,3,Westbound,25426,Kensington Av & Womrath St,40.009361,-75.090179,10,12,6,3,5,6
-8359133.85060573,4867205.02165233,57,Bus,APC,3,Westbound,25427,Kensington Av & Adams Av,40.008689,-75.091377,13,12,5,1,4,3
-8359425.95294957,4866996.61234648,58,Bus,APC,3,Westbound,25428,Kensington Av & Hunting Park Av,40.007255,-75.094001,7,12,3,12,4,6
-8360012.82930504,4866574.72043801,59,Bus,APC,3,Westbound,25429,Kensington Av & Castor Av,40.004352,-75.099273,5,17,3,7,3,6
-8360265.07927117,4866396.84235053,60,Bus,APC,3,Westbound,25430,Kensington Av & M St,40.003128,-75.101539,22,9,4,7,9,5
-8361829.45207529,4865272.09886417,61,Bus,APC,3,Westbound,25436,Kensington Av & G St,39.995388,-75.115592,68,41,47,22,38,17
-8362097.06413115,4865080.73078362,62,Bus,APC,3,Westbound,25438,Kensington Av & F St,39.994071,-75.117996,47,20,28,16,28,16
-8362351.87444558,4864897.93920652,63,Bus,APC,3,Westbound,25440,Kensington Av & E St,39.992813,-75.120285,47,39,34,21,29,14
-8363719.99098743,4863512.87206188,64,Bus,APC,3,Westbound,25451,Front St & Susquehanna Av,39.98328,-75.132575,21,13,8,8,7,5
-8363757.39433634,4863285.07296008,65,Bus,APC,3,Westbound,25452,Front St & Diamond St,39.981712,-75.132911,16,18,12,15,7,17
-8363793.90712932,4863071.08022413,66,Bus,APC,3,Westbound,25453,Front St & Norris St,39.980239,-75.133239,12,3,14,2,12,2
-8364028.34597693,4862883.82220523,67,Bus,APC,3,Westbound,25455,Berks St & Mascher St,39.97895,-75.135345,31,6,11,7,12,3
-8364248.31329074,4862919.26875856,68,Bus,APC,3,Westbound,25456,Berks St & 2nd St,39.979194,-75.137321,12,10,11,4,11,3
-8364380.78348478,4862942.07664873,69,Bus,APC,3,Westbound,25457,Berks St & American St,39.979351,-75.138511,41,5,26,10,14,7
-8364531.95535328,4862970.25971915,70,Bus,APC,3,Westbound,25458,Berks St & 3rd St,39.979545,-75.139869,19,18,11,8,9,8
-8364643.27484407,4862990.74334117,71,Bus,APC,3,Westbound,25459,Berks St & 4th St,39.979686,-75.140869,16,54,12,28,10,29
-8364849.66118,4863021.25094167,72,Bus,APC,3,Westbound,25460,Berks St & 5th St,39.979896,-75.142723,13,30,10,19,14,14
-8365050.03626343,4863055.68106058,73,Bus,APC,3,Westbound,25465,Berks St & 6th St,39.980133,-75.144523,58,46,38,25,34,20
-8365112.93177573,4862845.61561121,74,Bus,APC,3,Westbound,25467,6th St & Montgomery Av,39.978687,-75.145088,11,4,5,5,5,6
-8365143.43331621,4862622.77095488,75,Bus,APC,3,Westbound,25468,6th St & Cecil B Moore Av,39.977153,-75.145362,30,25,27,11,20,13
-8365292.93539234,4862643.83493583,76,Bus,APC,3,Westbound,25469,Cecil B Moore Av & 7th St,39.977298,-75.146705,40,19,30,10,28,7
-8365510.34235786,4862680.44278837,77,Bus,APC,3,Westbound,25470,Cecil B Moore Av & 8th St - FS,39.97755,-75.148658,79,50,36,25,26,21
-8365754.13204269,4862719.22982704,78,Bus,APC,3,Westbound,25471,Cecil B Moore Av & 10th St,39.977817,-75.150848,18,16,10,12,9,6
-8365930.79607459,4862745.81428939,79,Bus,APC,3,Westbound,25472,Cecil B Moore Av & 11th St,39.978,-75.152435,31,52,19,37,15,19
-8366104.00920226,4862774.72315712,80,Bus,APC,3,Westbound,25473,Cecil B Moore Av & 12th St,39.978199,-75.153991,102,69,69,43,51,35
-8366279.00344179,4862802.90575242,81,Bus,APC,3,Westbound,25474,Cecil B Moore Av & 13th St,39.978393,-75.155563,21,34,16,7,14,3
-8366706.13632796,4862882.6600253,82,Bus,APC,3,Westbound,25475,Cecil B Moore Av & 15th St,39.978942,-75.1594,103,38,61,29,65,20
-8366880.24001156,4862913.16729364,83,Bus,APC,3,Westbound,25476,Cecil B Moore Av & 16th St,39.979152,-75.160964,53,40,34,29,36,17
-8367056.90404345,4862942.07664873,84,Bus,APC,3,Westbound,25477,Cecil B Moore Av & 17th St,39.979351,-75.162551,47,57,27,43,23,33
-8367232.7888389,4862972.43882587,85,Bus,APC,3,Westbound,25478,Cecil B Moore Av & 18th St,39.97956,-75.164131,27,71,20,50,20,40
-8367407.67175894,4863000.18615988,86,Bus,APC,3,Westbound,25479,Cecil B Moore Av & 19th St,39.979751,-75.165702,47,101,28,73,30,62
-8367790.72212676,4863062.79953887,87,Bus,APC,3,Westbound,25480,Cecil B Moore Av & 21st St,39.980182,-75.169143,18,128,6,90,2,71
-8367958.92587735,4863092.14515637,88,Bus,APC,3,Westbound,25481,Cecil B Moore Av & 22nd St,39.980384,-75.170654,43,212,27,145,27,114
-8368148.28033119,4863123.81527654,89,Bus,APC,3,Westbound,25482,Cecil B Moore Av & Ridge Av,39.980602,-75.172355,33,209,29,145,17,114
-8368329.17450373,4863154.32328602,90,Bus,APC,3,Westbound,25483,Cecil B Moore Av & 24th St,39.980812,-75.17398,11,138,14,49,8,45
-8368506.72909154,4863185.84832764,91,Bus,APC,3,Westbound,25484,Cecil B Moore Av & 25th St,39.981029,-75.175575,5,102,5,66,3,67
-8368684.17235986,4863214.61319953,92,Bus,APC,3,Westbound,25485,Cecil B Moore Av & 26th St,39.981227,-75.177169,7,85,0,60,4,55
-8368854.93645875,4863245.12148806,93,Bus,APC,3,Westbound,25486,Cecil B Moore Av & 27th St,39.981437,-75.178703,3,71,4,52,2,44
-8369013.78937211,4863272.8695843,94,Bus,APC,3,Westbound,25487,Cecil B Moore Av & 28th St,39.981628,-75.18013,4,89,1,46,3,40
-8369196.35333701,4863301.63470835,95,Bus,APC,3,Westbound,25488,Cecil B Moore Av & 29th St,39.981826,-75.18177,25,192,7,112,8,114
-8369376.35695362,4863330.98103192,96,Bus,APC,3,Westbound,25489,Cecil B Moore Av & 30th St,39.982028,-75.183387,75,113,3,25,1,18
-8369539.44000763,4863358.14825038,97,Bus,APC,3,Westbound,25490,Cecil B Moore Av & 31st St,39.982215,-75.184852,20,44,4,44,1,32
-8369728.01522504,4863391.41729833,98,Bus,APC,3,Westbound,25491,Cecil B Moore Av & 32nd St,39.982444,-75.186546,32,45,4,27,4,31
-8364914.11516517,4863032.87290939,99,Bus,APC,3,Westbound,26260,Berks St & Germantown Av,39.979976,-75.143302,23,25,20,16,12,15
-8369917.36967887,4863424.68645778,100,Bus,APC,3,Westbound,26263,Cecil B Moore Av & 33rd St,39.982673,-75.188247,62,28,33,32,27,18
-8363850.79138911,4862853.89611531,101,Bus,APC,3,Westbound,31367,Berks St & Front St - FS,39.978744,-75.13375,98,33,74,33,48,14
-8370699.61174068,4863538.87752141,102,Bus,APC,3,Westbound,31684,Resevoir Dr & SmithDay Nursery Dr - 1,39.983459,-75.195274,0,0,0,16,0,13
-8368211.95507992,4852747.08787141,103,Bus,APC,4,Northbound,158,Broad St & Geary St,39.909137,-75.172927,4,0,4,0,0,0
-8366698.56660259,4861769.93516658,104,Bus,APC,4,Northbound,164,Broad St & Girard Av,39.971282,-75.159332,96,62,90,48,63,37
-8365970.64845229,4866155.0262741,105,Bus,APC,4,Northbound,165,Broad St & Allegheny Av,40.001464,-75.152793,75,120,50,76,39,46
-8364848.77062408,4867110.26318251,106,Bus,APC,4,Northbound,167,9th St & Erie Av,40.008037,-75.142715,20,43,22,20,11,22
-8367398.32092171,4857610.08791864,107,Bus,APC,4,Northbound,5135,Broad St & Bainbridge St,39.942638,-75.165618,14,7,9,2,5,2
-8367489.26894569,4857060.68381767,108,Bus,APC,4,Northbound,5150,Broad St & Carpenter St,39.938854,-75.166435,28,15,27,16,23,13
-8367445.96566377,4857327.10616637,109,Bus,APC,4,Northbound,5152,Broad St & Catharine St,39.940689,-75.166046,15,11,11,3,11,3
-8367464.55601874,4857212.98650905,110,Bus,APC,4,Northbound,5166,Broad St & Christian St,39.939903,-75.166213,38,14,28,6,19,4
-8367422.14329274,4857469.39459815,111,Bus,APC,4,Northbound,5195,Broad St & Fitzwater St,39.941669,-75.165832,12,7,7,6,5,4
-8367269.30163188,4858399.98215224,112,Bus,APC,4,Northbound,5229,Broad St & Locust St,39.948078,-75.164459,30,44,23,48,16,21
-8367352.45729151,4857882.04257523,113,Bus,APC,4,Northbound,5233,Broad St & Lombard St,39.944511,-75.165206,33,34,11,20,10,14
-8367331.30658826,4858015.48167239,114,Bus,APC,4,Northbound,5281,Broad St & Pine St,39.94543,-75.165016,21,18,6,5,10,6
-8367296.46358764,4858224.28333414,115,Bus,APC,4,Northbound,5318,Broad St & Spruce St,39.946868,-75.164703,31,26,14,18,12,12
-8367376.27966254,4857738.58665506,116,Bus,APC,4,Northbound,14996,Broad St & South St,39.943523,-75.16542,25,16,17,14,12,7
-8367240.35856428,4858563.9221166,117,Bus,APC,4,Northbound,15941,Broad St & Walnut St,39.949207,-75.164199,53,108,35,70,20,39
-8368182.23277588,4852937.05744924,118,Bus,APC,4,Northbound,17229,Broad St & Curtin St,39.910446,-75.17266,13,0,2,0,4,0
-8368115.99767886,4853290.15798985,119,Bus,APC,4,Northbound,17231,Broad St & Pollack St,39.912879,-75.172065,4,0,3,0,1,0
-8368076.14530116,4853513.37392657,120,Bus,APC,4,Northbound,17232,Broad St & Bigler St - FS,39.914417,-75.171707,5,0,14,0,6,0
-8367990.31797375,4854033.26298533,121,Bus,APC,4,Northbound,17233,Broad St & Shunk St,39.917999,-75.170936,15,0,6,0,2,0
-8367965.71636629,4854217.59645672,122,Bus,APC,4,Northbound,17234,Broad St & Porter St,39.919269,-75.170715,34,1,11,3,11,1
-8367934.32426988,4854402.51394083,123,Bus,APC,4,Northbound,17235,Broad St & Ritner St,39.920543,-75.170433,32,3,14,0,8,1
-8367906.2717582,4854580.32245854,124,Bus,APC,4,Northbound,17236,Broad St & Wolf St,39.921768,-75.170181,49,11,25,4,18,2
